date,rm,rf,SMB,HML,WML
197907,3.48,0.52,-2.24,1.97,-2.44
197908,1.46,0.56,0.76,0.57,0.55
197909,0.08,0.64,0.57,-0.63,-0.48
197910,-4.34,0.69,1.12,-0.11,3.26
197911,0.77,0.7,-2.49,0.64,2.92
197912,-1.4,0.82,0.07,-1.06,2.27
198001,0.86,0.73,-0.29,0.42,0.2
198002,2.11,0.71,-1.95,-1.33,-0.95
198003,-7.35,0.76,1.33,0.25,2.94
198004,3.55,0.78,-1.73,1.36,1
198005,3.16,0.84,-1.11,-1.88,-0.14
198006,3.59,0.84,-0.52,-0.91,3.28
198007,3.35,0.82,-0.13,-1.17,1.09
198008,-1.49,0.76,4.28,-2.47,-0.89
198009,-0.39,0.76,-1.91,-2.11,1.44
198010,-1.63,0.76,0.06,-2.27,4.41
198011,0.79,0.76,0.26,-2.97,2.48
198012,-1.93,0.86,0.88,-1.76,1.13
198101,-1.53,0.78,1.98,-5.38,3.68
198102,0.12,0.83,-2.31,2.79,0.22
198103,2.74,1.1,0.47,2.17,0.15
198104,4.17,1.05,-2.28,2.11,-1.26
198105,-1.38,1.08,-0.36,-3.16,1.47
198106,6.23,1.06,-5.98,0.21,5.12
198107,0.12,1.06,-1.37,-1.34,1.23
198108,-2.11,1.06,2.51,2.1,1.44
198109,-5.5,1.03,0.77,-0.31,-0.44
198110,-1,0.97,-0.06,0.73,2.26
198111,2.67,0.91,-3.76,4.31,4.21
198112,-2.17,0.94,2.19,-1.12,-2.28
198201,2.21,0.87,-1.94,0.45,-0.37
198202,1.96,0.81,1.58,1.21,0.18
198203,2.59,0.83,1.51,1.55,-2.09
198204,-0.33,0.78,2.13,1.69,-1.89
198205,-1.18,0.77,0.71,-0.53,1.28
198206,-1.68,0.76,-1.34,-1.09,3.63
198207,0.93,0.78,-0.93,0.52,1
198208,-0.85,0.75,-1.4,-0.34,2.63
198209,5.37,0.67,-3.46,-1.04,-1.65
198210,-0.55,0.63,3.01,-3.97,0.94
198211,2.89,0.59,1.2,-3.34,2.56
198212,5.82,0.57,-3.13,3.92,1.78
198301,-0.89,0.5,1.32,0.15,-4
198302,6.85,0.47,1.94,4.01,-0.74
198303,11.47,0.46,2.8,10.44,1.9
198304,6.55,0.42,-0.88,2.68,1.12
198305,-4.73,0.44,2.8,-1.63,-3.37
198306,4.78,0.44,-3.42,1.91,4.41
198307,3.27,0.45,-0.97,0.28,-0.17
198308,-5.33,0.46,0.86,0.3,-1.3
198309,2.37,0.47,-1.27,1.23,0.22
198310,7.61,0.48,-4.04,2.81,3.35
198311,1.7,0.48,-1.95,-0.94,1.34
198312,1.21,0.54,0.33,2.13,-0.83
198401,3.77,0.5,3.72,3.65,-2.69
198402,-4.25,0.46,4.09,0.76,0.62
198403,0.27,0.48,0.26,2.86,1.43
198404,1.08,0.47,0.54,0.29,2.74
198405,-2.81,0.49,2.34,0.09,2.7
198406,2.89,0.48,-1.54,0.06,0.14
198407,-5.68,0.49,1.03,-1.8,-0.9
198408,5.33,0.48,-2.24,0.9,4.07
198409,6.52,0.47,-3.5,-1.25,2.01
198410,1.58,0.49,1.66,3.86,5.12
198411,0.46,0.47,-0.45,1.85,-0.16
198412,1.92,0.49,-1.63,0.49,0.55
198501,4.5,0.49,-1.92,-2.15,5.3
198502,1.58,0.47,-1.33,4.08,2.29
198503,1.57,0.52,1.92,1.67,2.54
198504,3.46,0.48,-0.28,1.58,2.62
198505,8.85,0.48,-6.9,0.25,1.46
198506,5.95,0.46,-1.71,0.76,0.14
198507,-3.89,0.44,2.59,-4.19,-2.07
198508,8.56,0.4,-6.73,-0.23,4.32
198509,5.79,0.39,2.77,5.14,-3.24
198510,12.97,0.4,-7.56,4.81,0.21
198511,-1.85,0.39,3.35,-3.97,-1.79
198512,11.36,0.41,-5.67,0.78,2.66
198601,0.19,0.39,-1.35,0.41,1.56
198602,-1.97,0.36,2.53,5.88,0.66
198603,8.48,0.39,-1.52,0.95,3.55
198604,5.37,0.38,4.4,-1.85,0.23
198605,-8.57,0.39,1.14,-1.35,-3.62
198606,-0.83,0.38,-0.93,-3.27,1.07
